[full] evaluating gpqa
dataset=gpqa model=/mnt/public_data/deepseek-ai/DeepSeek-V4-Flash total=249 resumed=0 pending=249 workers=1 run=60072d63f26d6b66
question=245/249 repeat=1/1 correct=yes latency=6.35s completion_tokens=711 token_ps=112.05 progress=245/249 failures=0
question=246/249 repeat=1/1 correct=yes latency=23.12s completion_tokens=2638 token_ps=114.09 progress=246/249 failures=0
question=247/249 repeat=1/1 correct=yes latency=12.00s completion_tokens=1362 token_ps=113.47 progress=247/249 failures=0
question=248/249 repeat=1/1 correct=yes latency=152.09s completion_tokens=17350 token_ps=114.08 progress=248/249 failures=0
question=249/249 repeat=1/1 correct=no latency=70.44s completion_tokens=8045 token_ps=114.20 progress=249/249 failures=0
gpqa: 70.28% (175 / 249 scored; 0 unscored); output=/home/jovyan/wangtonghan/EASYEP/results/easyep_reproduction/v4flash_agentos_gpqa_kuvecodebench_20260818/full/evaluation/gpqa.jsonl
[full] evaluating gpqa
[full] evaluating gpqa
dataset=gpqa model=/mnt/public_data/deepseek-ai/DeepSeek-V4-Flash total=249 resumed=249 pending=0 workers=1 run=60072d63f26d6b66
gpqa: 70.28% (175 / 249 scored; 0 unscored); output=/home/jovyan/wangtonghan/EASYEP/results/easyep_reproduction/v4flash_agentos_gpqa_kuvecodebench_20260818/full/evaluation/gpqa.jsonl
[full] evaluating gpqa
dataset=gpqa model=/mnt/public_data/deepseek-ai/DeepSeek-V4-Flash total=249 resumed=249 pending=0 workers=1 run=60072d63f26d6b66
gpqa: 70.28% (175 / 249 scored; 0 unscored); output=/home/jovyan/wangtonghan/EASYEP/results/easyep_reproduction/v4flash_agentos_gpqa_kuvecodebench_20260818/full/evaluation/gpqa.jsonl
